10209;Консультативно-диагностическая поликлиника №6, Новокузнецкий перинатальный центр;Новокузнецк;Сеченова, 26;;654041;+7 (3843) 328–974;;;;;;86.810182;53.807801;Медицина / Здоровье / Красота;Взрослые поликлиники
10210;Детская поликлиника №1, Новокузнецкая городская детская клиническая больница №3;Новокузнецк;Тореза, 15;1, 2 этаж;654038;+7 (3843) 522–459;;;;;;86.757932;53.870998;Медицина / Здоровье / Красота;Взрослые поликлиники
10211;Детская поликлиника №4, Новокузнецкий перинатальный центр;Новокузнецк;Спартака, 16;;654007;+7 (3843) 328–974, +7 (3843) 45–75–65;;;;;;86.949796;53.678089;Медицина / Здоровье / Красота;Взрослые поликлиники
10212;Детская поликлиника №7, Новокузнецкая городская детская клиническая больница №3;Новокузнецк;Ленина, 68;;654034;+7 (3843) 32–88–71;;;;;;86.64078;53.89977;Медицина / Здоровье / Красота;Взрослые поликлиники
10213;Детская поликлиника №5, Новокузнецкий перинатальный центр;Новокузнецк;Ушинского, 1;;654005;+7 (3843) 328–974;;;;;;87.433339;53.695686;Медицина / Здоровье / Красота;Взрослые поликлиники, Детские поликлиники
10214;Детская поликлиника №2, Новокузнецкий перинатальный центр;Новокузнецк;Грдины, 13;;654066;+7 (3843) 328–974;;;;;;87.376761;53.962574;Медицина / Здоровье / Красота;Взрослые поликлиники, Детские поликлиники
10215;Детская поликлиника №4, Новокузнецкая городская детская клиническая больница №3;Новокузнецк;Зорге, 42а;;654084;+7 (3843) 328–881;;;;;;86.905156;53.912493;Медицина / Здоровье / Красота;Взрослые поликлиники, Детские поликлиники
10216;Детская поликлиника №3, Новокузнецкий перинатальный центр;Новокузнецк;Дружбы проспект, 28;;654018;+7 (3843) 328–974;;;http://www.gorpoliklinika.ru;;;86.649337;53.87141;Медицина / Здоровье / Красота;Взрослые поликлиники
10217;Детская поликлиника №1, Новокузнецкая городская детская клиническая больница №4;Новокузнецк;Димитрова, 33;1 этаж;654063;+7 (3843) 32–88–04;;;http://www.xn----7sbbab6bqefohc4d8b5e.xn--p1ai;;;87.265986;53.542602;Медицина / Здоровье / Красота;Взрослые поликлиники, Детские поликлиники
10218;Поликлиника №2, Новокузнецкий клинический противотуберкулезный диспансер;Новокузнецк;Петракова, 69/1;;654034;+7 (3843) 37–54–53;;;http://www.dkb3.ru;;;87.126602;53.896612;Медицина / Здоровье / Красота;Детские поликлиники
10219;Детская поликлиника №3, Новокузнецкая городская детская клиническая больница №4;Новокузнецк;Вокзальная, 31;;654029;+7 (3843) 32–88–04;;;http://www.perinatal-nk.ru;;;87.131417;53.750685;Медицина / Здоровье / Красота;Детские поликлиники
10220;Детская поликлиника №2, Новокузнецкая городская детская клиническая больница №3;Новокузнецк;Клименко, 38;;654059;+7 (3843) 54–71–72;;;http://www.dkb3.ru;;;87.178093;53.835948;Медицина / Здоровье / Красота;Детские поликлиники
10221;Детская поликлиника №5, Новокузнецкая городская детская клиническая больница №3;Новокузнецк;Сусанина, 3;;654013;+7 (3843) 32–88–51;;;http://www.perinatal-nk.ru;;;87.126396;53.760151;Медицина / Здоровье / Красота;Детские поликлиники
10222;Детская поликлиника №2, Новокузнецкая городская детская клиническая больница №4;Новокузнецк;Мичурина, 18;;654027;+7 (3843) 32–88–04, +7 (3843) 72–17–31, +7 (3843) 72–05–32;;;http://www.dkb3.ru;;;87.213501;53.78045;Медицина / Здоровье / Красота;Детские поликлиники
